id,authoring_tool,cad_doctype,cad_metadata_name,plm_doctype,plm_metadata,plm_metadata_type,update_mode,obsolete,ordering
22,SolidWorks,SLDDTB,AuthoringToolVersion,CadDesignTable,cad:authoringToolVersion,real,CadToPlm,0,220
23,SolidWorks,SLDDTB,IntegrationTool,CadDesignTable,cad:integrationTool,real,CadToPlm,0,230
24,Catia,CATDRAWING,FILENAME,CadDrawing,elo:reference,real,CadToPlm,0,240
25,Catia,CATDRAWING,Title,CadDrawing,dc:title,real,CadToPlm,0,250
26,Catia,CATDRAWING,AuthoringTool,CadDrawing,cad:authoringTool,real,CadToPlm,0,260
27,Catia,CATDRAWING,AuthoringToolVersion,CadDrawing,cad:authoringToolVersion,real,CadToPlm,0,270
28,Catia,CATDRAWING,IntegrationTool,CadDrawing,cad:integrationTool,real,CadToPlm,0,280
29,Catia,CATPART,FILENAME,CadPart,elo:reference,real,CadToPlm,0,290
30,Catia,CATPART,Title,CadPart,dc:title,real,CadToPlm,0,300
31,Catia,CATPART,ActiveConfigurationName,CadPart,cad:activeConfiguration,real,CadToPlm,0,310
32,Catia,CATPART,Material,CadPart,cad:cadMaterial,real,CadToPlm,0,320
33,Catia,CATPART,AuthoringTool,CadPart,cad:authoringTool,real,CadToPlm,0,330
34,Catia,CATPART,AuthoringToolVersion,CadPart,cad:authoringToolVersion,real,CadToPlm,0,340
35,Catia,CATPART,IntegrationTool,CadPart,cad:integrationTool,real,CadToPlm,0,350
36,Catia,CATPRODUCT,FILENAME,CadAssembly,elo:reference,real,CadToPlm,0,360
37,Catia,CATPRODUCT,Title,CadAssembly,dc:title,real,CadToPlm,0,370
38,Catia,CATPRODUCT,ActiveConfigurationName,CadAssembly,cad:activeConfiguration,real,CadToPlm,0,380
39,Catia,CATPRODUCT,AuthoringTool,CadAssembly,cad:authoringTool,real,CadToPlm,0,390
40,Catia,CATPRODUCT,AuthoringToolVersion,CadAssembly,cad:authoringToolVersion,real,CadToPlm,0,400
41,Catia,CATPRODUCT,IntegrationTool,CadAssembly,cad:integrationTool,real,CadToPlm,0,410
42,Catia,CATDTB,Title,CadDesignTable,dc:title,real,CadToPlm,0,420
43,Catia,CATDTB,TB_FILENAME,CadDesignTable,elo:reference,real,CadToPlm,0,430
44,Catia,CATDTB,AuthoringTool,CadDesignTable,cad:authoringTool,real,CadToPlm,0,440
45,Catia,CATDTB,AuthoringToolVersion,CadDesignTable,cad:authoringToolVersion,real,CadToPlm,0,450
46,Catia,CATDTB,IntegrationTool,CadDesignTable,cad:integrationTool,real,CadToPlm,0,460
47,SolidEdge,DFT,FILENAME,CadDrawing,elo:reference,real,CadToPlm,0,470
48,SolidEdge,DFT,Title,CadDrawing,dc:title,real,CadToPlm,0,480
49,SolidEdge,DFT,AuthoringTool,CadDrawing,cad:authoringTool,real,CadToPlm,0,490
50,SolidEdge,DFT,AuthoringToolVersion,CadDrawing,cad:authoringToolVersion,real,CadToPlm,0,500
51,SolidEdge,DFT,IntegrationTool,CadDrawing,cad:integrationTool,real,CadToPlm,0,510
52,SolidEdge,PAR,FILENAME,CadPart,elo:reference,real,CadToPlm,0,520
53,SolidEdge,PAR,Title,CadPart,dc:title,real,CadToPlm,0,530
54,SolidEdge,PAR,ActiveConfigurationName,CadPart,cad:activeConfiguration,real,CadToPlm,0,540
55,SolidEdge,PAR,Material,CadPart,cad:cadMaterial,real,CadToPlm,0,550
56,SolidEdge,PAR,AuthoringTool,CadPart,cad:authoringTool,real,CadToPlm,0,560
57,SolidEdge,PAR,AuthoringToolVersion,CadPart,cad:authoringToolVersion,real,CadToPlm,0,570
58,SolidEdge,PAR,IntegrationTool,CadPart,cad:integrationTool,real,CadToPlm,0,580
59,SolidEdge,ASM,FILENAME,CadAssembly,elo:reference,real,CadToPlm,0,590
60,SolidEdge,ASM,Title,CadAssembly,dc:title,real,CadToPlm,0,600
61,SolidEdge,ASM,ActiveConfigurationName,CadAssembly,cad:activeConfiguration,real,CadToPlm,0,610
62,SolidEdge,ASM,AuthoringTool,CadAssembly,cad:authoringTool,real,CadToPlm,0,620
63,SolidEdge,ASM,AuthoringToolVersion,CadAssembly,cad:authoringToolVersion,real,CadToPlm,0,630
64,SolidEdge,ASM,IntegrationTool,CadAssembly,cad:integrationTool,real,CadToPlm,0,640
65,SolidEdge,EDGEDTB,Title,CadDesignTable,dc:title,real,CadToPlm,0,650
66,SolidEdge,EDGEDTB,TB_FILENAME,CadDesignTable,elo:reference,real,CadToPlm,0,660
67,SolidEdge,EDGEDTB,AuthoringTool,CadDesignTable,cad:authoringTool,real,CadToPlm,0,670
68,SolidEdge,EDGEDTB,AuthoringToolVersion,CadDesignTable,cad:authoringToolVersion,real,CadToPlm,0,680
69,SolidEdge,EDGEDTB,IntegrationTool,CadDesignTable,cad:integrationTool,real,CadToPlm,0,690
70,NX,NXDRW,FILENAME,CadDrawing,elo:reference,real,CadToPlm,0,700
71,NX,NXDRW,Title,CadDrawing,dc:title,real,CadToPlm,0,710
72,NX,NXDRW,AuthoringTool,CadDrawing,cad:authoringTool,real,CadToPlm,0,720
73,NX,NXDRW,AuthoringToolVersion,CadDrawing,cad:authoringToolVersion,real,CadToPlm,0,730
74,NX,NXDRW,IntegrationTool,CadDrawing,cad:integrationTool,real,CadToPlm,0,740
75,NX,NXPRT,FILENAME,CadPart,elo:reference,real,CadToPlm,0,750
76,NX,NXPRT,Title,CadPart,dc:title,real,CadToPlm,0,760
77,NX,NXPRT,ActiveConfigurationName,CadPart,cad:activeConfiguration,real,CadToPlm,0,770
78,NX,NXPRT,Material,CadPart,cad:cadMaterial,real,CadToPlm,0,780
79,NX,NXPRT,AuthoringTool,CadPart,cad:authoringTool,real,CadToPlm,0,790
80,NX,NXPRT,AuthoringToolVersion,CadPart,cad:authoringToolVersion,real,CadToPlm,0,800
81,NX,NXPRT,IntegrationTool,CadPart,cad:integrationTool,real,CadToPlm,0,810
82,NX,NXASM,FILENAME,CadAssembly,elo:reference,real,CadToPlm,0,820
83,NX,NXASM,Title,CadAssembly,dc:title,real,CadToPlm,0,830
84,NX,NXASM,ActiveConfigurationName,CadAssembly,cad:activeConfiguration,real,CadToPlm,0,840
85,NX,NXASM,AuthoringTool,CadAssembly,cad:authoringTool,real,CadToPlm,0,850
86,NX,NXASM,AuthoringToolVersion,CadAssembly,cad:authoringToolVersion,real,CadToPlm,0,860
87,NX,NXASM,IntegrationTool,CadAssembly,cad:integrationTool,real,CadToPlm,0,870
88,NX,NXDTB,Title,CadDesignTable,dc:title,real,CadToPlm,0,880
89,NX,NXDTB,TB_FILENAME,CadDesignTable,elo:reference,real,CadToPlm,0,890
90,NX,NXDTB,AuthoringTool,CadDesignTable,cad:authoringTool,real,CadToPlm,0,900
91,NX,NXDTB,AuthoringToolVersion,CadDesignTable,cad:authoringToolVersion,real,CadToPlm,0,910
92,NX,NXDTB,IntegrationTool,CadDesignTable,cad:integrationTool,real,CadToPlm,0,920
93,Creo,DRW,FILENAME,CadDrawing,elo:reference,real,CadToPlm,0,930
94,Creo,DRW,Title,CadDrawing,dc:title,real,CadToPlm,0,940
95,Creo,DRW,AuthoringTool,CadDrawing,cad:authoringTool,real,CadToPlm,0,950
96,Creo,DRW,AuthoringToolVersion,CadDrawing,cad:authoringToolVersion,real,CadToPlm,0,960
97,Creo,DRW,IntegrationTool,CadDrawing,cad:integrationTool,real,CadToPlm,0,970
98,Creo,PRT,FILENAME,CadPart,elo:reference,real,CadToPlm,0,980
99,Creo,PRT,Title,CadPart,dc:title,real,CadToPlm,0,990
100,Creo,PRT,ActiveConfigurationName,CadPart,cad:activeConfiguration,real,CadToPlm,0,1000
101,Creo,PRT,Material,CadPart,cad:cadMaterial,real,CadToPlm,0,1010
102,Creo,PRT,AuthoringTool,CadPart,cad:authoringTool,real,CadToPlm,0,1020
103,Creo,PRT,AuthoringToolVersion,CadPart,cad:authoringToolVersion,real,CadToPlm,0,1030
104,Creo,PRT,IntegrationTool,CadPart,cad:integrationTool,real,CadToPlm,0,1040
105,Creo,ASM,FILENAME,CadAssembly,elo:reference,real,CadToPlm,0,1050
106,Creo,ASM,Title,CadAssembly,dc:title,real,CadToPlm,0,1060
107,Creo,ASM,ActiveConfigurationName,CadAssembly,cad:activeConfiguration,real,CadToPlm,0,1070
108,Creo,ASM,AuthoringTool,CadAssembly,cad:authoringTool,real,CadToPlm,0,1080
109,Creo,ASM,AuthoringToolVersion,CadAssembly,cad:authoringToolVersion,real,CadToPlm,0,1090
110,Creo,ASM,IntegrationTool,CadAssembly,cad:integrationTool,real,CadToPlm,0,1100
111,Creo,CREODTB,Title,CadDesignTable,dc:title,real,CadToPlm,0,1110
112,Creo,CREODTB,TB_FILENAME,CadDesignTable,elo:reference,real,CadToPlm,0,1120
113,Creo,CREODTB,AuthoringTool,CadDesignTable,cad:authoringTool,real,CadToPlm,0,1130
114,Creo,CREODTB,AuthoringToolVersion,CadDesignTable,cad:authoringToolVersion,real,CadToPlm,0,1140
115,Creo,CREODTB,IntegrationTool,CadDesignTable,cad:integrationTool,real,CadToPlm,0,1150
